total_actions,total_time_ms,avg_time_per_action_ms,paste_count,deletion_count,compilation_count,submission_count,SRN
1001,4973670,4968.701298701299,0,252,56,23,PES2UG24CS573
1220,4340992,3558.1901639344264,0,302,40,4,PES2UG24CS536
2364,4567678,1932.1818950930626,0,602,78,21,PES2UG24EC121
1961,4455470,2272.039775624681,0,520,33,4,PES2UG24AM173
2690,5234302,1945.8371747211895,0,1157,80,3,PES2UG24CS642
937,3500052,3735.3810032017077,0,162,23,16,PES2UG24CS213
1739,5217492,3000.2829212190913,0,441,41,93,PES2UG24CS162
1501,5040034,3357.784143904064,0,415,84,10,PES2UG24CS540
2925,5151011,1761.0294017094018,0,927,75,27,PES2UG24CS336
1068,3803033,3560.8923220973784,0,318,28,8,PES2UG24AM219
1763,5166345,2930.4282473057287,0,627,79,4,PES2UG24CS126
1055,2117705,2007.303317535545,0,229,28,9,PES2UG24AM019
1021,4879255,4778.898139079334,0,308,39,26,PES2UG24EC017
1424,4775541,3353.6102528089887,0,472,31,18,PES2UG24CS013
301,1550776,5152.079734219269,0,112,8,3,PES2UG24EC103
1666,4491496,2695.9759903961585,0,214,68,19,PES2UG24EC130
2648,4794553,1810.6317975830816,0,886,99,11,PES2UG24CS134
1634,5323171,3257.75458996328,0,496,32,11,PES2UG24AM124
1648,4088603,2480.948422330097,0,588,43,2,PES2UG24EC143
2363,18472631,7817.448582310622,0,746,49,31,PES2UG24CS023
1720,5353991,3112.7854651162793,0,294,96,71,PES2UG24CS649
1700,5309468,3123.216470588235,0,391,91,13,PES2UG24CS267
1507,5291917,3511.557398805574,0,186,53,45,PES2UG24CS619
2262,5345961,2363.3779840848806,0,831,79,15,PES2UG24CS275
1744,4543542,2605.2419724770643,0,496,55,22,PES2UG24CS525
1417,5169403,3648.1319689484826,0,245,62,15,PES2UG24CS473
2801,3941590,1407.2081399500178,0,859,51,8,PES2202401568
1206,4172731,3459.9759535655057,0,337,13,2,PES2UG24AM198
3517,4763221,1354.3420528859824,0,1432,87,34,PES2UG24CS249
4523,5228983,1156.087331417201,0,1096,71,5,PES2UG24AM059
2320,5167720,2227.4655172413795,0,713,22,83,PES2UG24CS548
1330,5366830,4035.2105263157896,0,320,27,28,PES2UG24CS128
2557,5099929,1994.4970668752444,0,997,54,16,PES2UG24CS663
3473,5187467,1493.6559170745752,0,1111,99,17,PES2UG24CS390
1688,5209444,3086.1635071090045,0,549,58,77,PES2UG24CS646
3166,4529207,1430.5770688566015,0,1292,89,3,PES2UG24AM158
1354,3701210,2733.5376661742985,0,180,68,11,PES2UG24AM046
1729,4934870,2854.1758241758243,0,425,38,20,PES2UG24CS502
2306,5351271,2320.5858629661752,0,625,84,20,PES2UG24CS636
2915,22389124,7680.660034305317,0,629,101,7,PES2UG24EC133
1089,5134076,4714.48668503214,0,308,37,20,PES2UG24CS633
1961,4662970,2377.853136155023,0,573,37,1,PES2UG24CS219
1167,5079573,4352.676092544987,0,155,44,44,PES2UG24EC012
1973,5272694,2672.4247339077547,0,468,45,33,PES2UG24AM122
2053,5140095,2503.6994641987335,0,863,39,5,PES2UG24CS509
299,2179862,7290.508361204013,0,38,7,4,PES2UG24EC128
1745,5329728,3054.2853868194843,0,551,71,65,PES2UG24EC063
1796,5348852,2978.2026726057907,0,669,94,81,PES2UG24CS150
54,354961,6573.351851851852,0,2,2,2,PES2UG24ECE000
1680,5266812,3135.0071428571428,0,513,78,16,PES2UG24EC041
2341,6174908,2637.722340879966,0,649,85,42,PES2202400571
1245,4949505,3975.5060240963853,0,311,39,14,PES2UG24AM086
1811,3806654,2101.9624516841523,0,819,70,20,PES2UG24AM137
1603,5364189,3346.3437305053026,0,305,71,11,PES2UG24AM200
